,HoldOut,Training
17800,0.4406741573033708,0.0003370786516854185
17900,0.4528491620111732,0.0003351955307262511
18000,0.4515555555555556,0.0003333333333332966
18100,0.44828729281767954,0.00033149171270718814
18200,0.4436263736263736,0.0003296703296703507
18300,0.44021857923497265,0.0003278688524590567
18400,0.43293478260869567,0.0003260869565216984
18500,0.43437837837837834,0.0003243243243242766
18600,0.43440860215053767,0.00032258064516133
18700,0.4431016042780749,0.0003208556149733033
18800,0.4426595744680851,0.00031914893617024376
18900,0.43312169312169313,0.0003174603174602719
19000,0.4347368421052632,0.0003157894736841582
19100,0.4272251308900523,0.0003141361256544517
19200,0.4314583333333334,0.00031250000000004885
19300,0.4353367875647668,0.00031088082901553626
19400,0.45721649484536087,0.0003092783505154184
19500,0.4412307692307692,0.0003076923076923421
19600,0.4341836734693878,0.00030612244897954
19700,0.4247715736040609,0.00030456852791882483
19800,0.434949494949495,0.00030303030303024947
19900,0.4240201005025126,0.000301507537688428
20000,0.41790000000000005,0.00029999999999996696
20100,0.42646766169154227,0.00029850746268655914
20200,0.43930693069306925,0.0002970297029702973
20300,0.4281773399014779,0.000295566502463096
20400,0.4238235294117647,0.0002941176470587781
20500,0.42087804878048785,0.00029268292682926855
20600,0.4347572815533981,0.0002912621359223433
20700,0.4345893719806764,0.00028985507246381825
20800,0.4371153846153846,0.00028846153846151523
20900,0.4342583732057417,0.0002870813397128913
21000,0.43714285714285717,0.00028571428571433355
21100,0.4212322274881517,0.00028436018957345155
21200,0.44886792452830193,0.0002830188679244783
21300,0.42723004694835676,0.00028169014084511446
21400,0.42897196261682247,0.0002803738317757043
21500,0.4397209302325581,0.00027906976744185297
21600,0.43092592592592593,0.0002777777777778212
21700,0.43179723502304146,0.00027649769585258444
21800,0.4265137614678899,0.0002752293577981124
21900,0.42228310502283106,0.0002739726027397582
22000,0.43227272727272725,0.00027272727272731334
22100,0.43040723981900453,0.0002714932126697267
22200,0.43261261261261263,0.0002702702702702675
22300,0.4212556053811659,0.0002690582959641308
22400,0.43178571428571433,0.000267857142857153
22500,0.43137777777777775,0.0002666666666666373
22600,0.42699115044247793,0.00026548672566373277
22700,0.4224669603524229,0.0002643171806167022
22800,0.4250877192982456,0.000263157894736854
22900,0.4327510917030568,0.00026200873362447474
23000,0.4332173913043478,0.0002608695652174253
23100,0.42787878787878786,0.00025974025974029313
23200,0.42508620689655174,0.000258620689655209
23300,0.42669527896995707,0.00025751072961377464
23400,0.4274358974358974,0.0002564102564102111
23500,0.4393191489361702,0.0002553191489361728
23600,0.43364406779661013,0.00025423728813556146
23700,0.42413502109704637,0.00025316455696200446
23800,0.42689075630252105,0.00025210084033611135
23900,0.42000000000000004,0.0002510460251046176
24000,0.4269166666666667,0.00024999999999997247
24100,0.4266390041493776,0.0002489626556017033
24200,0.41743801652892565,0.0002479338842975576
24300,0.4215637860082304,0.0002469135802468658
24400,0.4277868852459017,0.00024590163934423703
24500,0.42424489795918363,0.0002448979591836986
24600,0.4265040650406504,0.00024390243902439046
24700,0.4297975708502024,0.00024291497975703624
24800,0.42798387096774193,0.00024193548387096975
24900,0.43140562248995984,0.0002409638554217164
25000,0.40776,0.00024000000000001798
25100,0.4070916334661354,0.00023904382470119057
25200,0.4285714285714286,0.00023809523809525945
25300,0.43225296442687744,0.0002371541501976493
25400,0.41889763779527556,0.00023622047244098443
25500,0.4243921568627451,0.00023529411764711128
25600,0.42632812499999995,0.00023437500000000888
