,0
0,0.6202898550724638
1,0.5101449275362319
2,0.5971014492753624
3,0.518840579710145
4,0.591304347826087
5,0.6289855072463768
6,0.6115942028985507
7,0.5449275362318841
8,0.5130434782608696
9,0.4985507246376812
10,0.5971014492753624
11,0.5855072463768116
12,0.6231884057971014
13,0.6260869565217392
14,0.6521739130434783
15,0.6318840579710145
16,0.6318840579710145
17,0.5855072463768116
18,0.6028985507246377
19,0.6173913043478261
20,0.5261627906976745
21,0.6395348837209303
22,0.6191860465116279
23,0.6424418604651163
24,0.6162790697674418
25,0.6511627906976745
26,0.6046511627906976
27,0.625
28,0.6017441860465116
29,0.6308139534883721
30,0.6133720930232558
31,0.6395348837209303
32,0.561046511627907
33,0.5726744186046512
34,0.622093023255814
35,0.6424418604651163
36,0.622093023255814
37,0.6656976744186046
38,0.6366279069767442
39,0.6395348837209303
40,0.6540697674418605
41,0.5930232558139535
42,0.6802325581395349
43,0.625
44,0.6017441860465116
45,0.6133720930232558
46,0.6588921282798834
47,0.5014577259475219
48,0.6501457725947521
49,0.49854227405247814
