,HoldOut,Training
10300,0.31999999999999995,0.31145631067961166
10400,0.31788461538461543,0.3111538461538461
10500,0.31885714285714284,0.31219047619047624
10600,0.32018867924528305,0.3122641509433962
10700,0.3209345794392523,0.31140186915887846
10800,0.32611111111111113,0.31000000000000005
10900,0.3225688073394496,0.30935779816513764
11000,0.3241818181818181,0.3101818181818182
11100,0.3245045045045045,0.3088288288288288
11200,0.3226785714285715,0.30946428571428575
11300,0.32548672566371684,0.30849557522123894
11400,0.3247368421052632,0.30877192982456136
11500,0.32399999999999995,0.3081739130434783
11600,0.32517241379310347,0.3082758620689655
11700,0.3276923076923077,0.3092307692307692
11800,0.3269491525423729,0.3072881355932203
11900,0.33042016806722685,0.3087394957983193
12000,0.33066666666666666,0.3078333333333333
12100,0.33140495867768593,0.30760330578512396
12200,0.3319672131147541,0.3070491803278689
12300,0.33268292682926826,0.30731707317073176
12400,0.3340322580645161,0.3066129032258065
12500,0.33136,0.30767999999999995
12600,0.3288888888888889,0.30968253968253967
12700,0.33055118110236226,0.30850393700787404
12800,0.33125000000000004,0.3090625
12900,0.3310077519379845,0.3086821705426357
13000,0.33107692307692305,0.309076923076923
13100,0.3329770992366412,0.3080916030534351
13200,0.3318181818181818,0.30787878787878786
13300,0.33278195488721807,0.3087218045112782
13400,0.332089552238806,0.3083582089552239
13500,0.329037037037037,0.3084444444444444
13600,0.3316176470588236,0.3091176470588235
13700,0.3284671532846716,0.3096350364963504
13800,0.3272463768115942,0.31000000000000005
13900,0.3302158273381295,0.31021582733812947
14000,0.33071428571428574,0.30814285714285716
14100,0.3292198581560284,0.30936170212765957
14200,0.3298591549295775,0.31028169014084506
14300,0.3299300699300699,0.3106293706293707
14400,0.3318055555555556,0.31152777777777774
14500,0.3324137931034483,0.31117241379310345
14600,0.33150684931506846,0.3117808219178082
14700,0.33183673469387753,0.3118367346938775
14800,0.3322972972972973,0.312027027027027
14900,0.33208053691275163,0.3120805369127517
15000,0.3317333333333333,0.31346666666666667
15100,0.33192052980132447,0.31337748344370864
15200,0.33171052631578946,0.3135526315789474
15300,0.33215686274509804,0.3130718954248366
15400,0.3342857142857143,0.3138961038961039
15500,0.3354838709677419,0.31174193548387097
15600,0.3343589743589743,0.3128205128205128
15700,0.3335031847133758,0.31286624203821656
15800,0.33493670886075955,0.31240506329113926
15900,0.3364779874213837,0.3120754716981132
16000,0.33525000000000005,0.312875
16100,0.33552795031055904,0.31304347826086953
16200,0.3365432098765432,0.31234567901234567
16300,0.33766871165644174,0.31300613496932517
16400,0.3386585365853658,0.3132926829268292
16500,0.33878787878787875,0.31272727272727274
16600,0.3390361445783132,0.31301204819277106
16700,0.3389221556886227,0.3130538922155689
16800,0.33785714285714286,0.3130952380952381
16900,0.33775147928994087,0.3130177514792899
17000,0.3378823529411765,0.31329411764705883
17100,0.33859649122807023,0.3129824561403509
17200,0.3387209302325581,0.31348837209302327
17300,0.3389595375722544,0.3134104046242775
17400,0.33712643678160914,0.31367816091954026
17500,0.3372571428571428,0.3147428571428571
17600,0.3364772727272727,0.3151136363636363
17700,0.3367231638418079,0.3136723163841808
17800,0.3378651685393258,0.31438202247191016
17900,0.3389944134078212,0.31363128491620107
18000,0.3393333333333334,0.3132222222222222
18100,0.3390055248618784,0.3140331491712707
18200,0.33813186813186813,0.3131868131868132
18300,0.33890710382513656,0.312568306010929
18400,0.33913043478260874,0.31304347826086953
18500,0.3381621621621622,0.31351351351351353
18600,0.3397849462365592,0.3139784946236559
18700,0.33999999999999997,0.313475935828877
18800,0.34021276595744676,0.31244680851063833
18900,0.340952380952381,0.3132275132275132
19000,0.33999999999999997,0.3127368421052632
19100,0.34083769633507854,0.3126701570680628
19200,0.34114583333333337,0.31333333333333335
19300,0.3412435233160622,0.3135751295336787
19400,0.3414432989690722,0.31360824742268045
19500,0.32553846153846155,0.3132307692307692
19600,0.3247959183673469,0.3129591836734694
19700,0.32406091370558376,0.31390862944162434
19800,0.32505050505050503,0.3146464646464646
19900,0.3237185929648241,0.3142713567839196
20000,0.32399999999999995,0.3127
20100,0.3239800995024875,0.31263681592039805
20200,0.3228712871287128,0.3132673267326732
20300,0.3242364532019705,0.3125123152709359
20400,0.3244117647058824,0.3125490196078431
20500,0.3245853658536585,0.3129756097560975
20600,0.3232038834951456,0.3137864077669903
20700,0.32376811594202903,0.31304347826086953
20800,0.32461538461538464,0.31307692307692303
20900,0.3240191387559809,0.3129186602870814
21000,0.32419047619047614,0.31352380952380954
21100,0.3241706161137441,0.31345971563981045
21200,0.3245283018867925,0.31377358490566043
21300,0.3246948356807512,0.3134272300469484
21400,0.32485981308411216,0.3130841121495327
21500,0.326046511627907,0.31311627906976747
21600,0.3262962962962963,0.31287037037037035
21700,0.3250691244239632,0.3138248847926267
21800,0.3257798165137614,0.3134862385321101
21900,0.3269406392694064,0.31333333333333335
22000,0.3249090909090909,0.3136363636363636
22100,0.32778280542986427,0.3134841628959276
22200,0.32684684684684684,0.31414414414414416
