,HoldOut,Training
100,0.48,0.0
200,0.42000000000000004,0.0
300,0.54,0.0
400,0.5349999999999999,0.0
500,0.46799999999999997,0.0
600,0.5066666666666666,0.0
700,0.49142857142857144,0.0
800,0.475,0.0
900,0.47777777777777775,0.0
1000,0.47,0.0
1100,0.4618181818181818,0.0
1200,0.45166666666666666,0.0
1300,0.44307692307692303,0.0
1400,0.4542857142857143,0.0
1500,0.45733333333333337,0.0
1600,0.46625000000000005,0.0
1700,0.46352941176470586,0.0
1800,0.4622222222222222,0.0
1900,0.4631578947368421,0.0
2000,0.46699999999999997,0.0
2100,0.4647619047619047,0.0
2200,0.4672727272727273,0.0
2300,0.4652173913043478,0.0
2400,0.4691666666666666,0.0
2500,0.4696,0.0
2600,0.46307692307692305,0.0007692307692307443
2700,0.4562962962962963,0.0007407407407407085
2800,0.44499999999999995,0.0007142857142856673
2900,0.43999999999999995,0.0006896551724138167
3000,0.43933333333333335,0.0013333333333332975
3100,0.4432258064516129,0.001290322580645209
3200,0.44062500000000004,0.0012499999999999734
3300,0.44060606060606056,0.00121212121212122
3400,0.4441176470588235,0.0011764705882353343
3500,0.4434285714285714,0.0011428571428571122
3600,0.44666666666666666,0.0011111111111110628
3700,0.45189189189189194,0.00108108108108107
3800,0.4452631578947368,0.001052631578947416
3900,0.4420512820512821,0.0010256410256410664
4000,0.4365,0.0010000000000000009
4100,0.4385365853658536,0.0009756097560975618
4200,0.4352380952380952,0.0009523809523809268
4300,0.4372093023255814,0.0009302325581395099
4400,0.4395454545454546,0.0009090909090908594
4500,0.43733333333333335,0.000888888888888939
4600,0.43434782608695655,0.0013043478260869046
4700,0.4323404255319149,0.001276595744680864
4800,0.43374999999999997,0.0012499999999999734
4900,0.4302040816326531,0.001224489795918382
5000,0.43079999999999996,0.0011999999999999789
5100,0.4356862745098039,0.0011764705882353343
5200,0.4307692307692308,0.001153846153846172
5300,0.43018867924528303,0.0011320754716981352
5400,0.42740740740740746,0.0011111111111110628
5500,0.4283636363636364,0.0010909090909091423
5600,0.4264285714285714,0.001071428571428612
5700,0.42491228070175435,0.001052631578947416
5800,0.42620689655172417,0.001034482758620725
5900,0.42576271186440673,0.0010169491525423568
6000,0.42433333333333334,0.0010000000000000009
6100,0.4209836065573771,0.0009836065573770592
6200,0.4258064516129032,0.000967741935483879
6300,0.42952380952380953,0.0009523809523809268
6400,0.4284375,0.0009375000000000355
6500,0.42738461538461536,0.0009230769230769154
6600,0.4242424242424242,0.0009090909090908594
6700,0.4226865671641791,0.0011940298507462366
6800,0.42500000000000004,0.0011764705882353343
6900,0.4257971014492754,0.001159420289855051
7000,0.4265714285714286,0.0011428571428571122
7100,0.42366197183098586,0.0014084507042253502
7200,0.4244444444444444,0.001388888888888884
7300,0.42301369863013694,0.0016438356164383272
7400,0.42324324324324325,0.001621621621621605
7500,0.42800000000000005,0.0016000000000000458
7600,0.43000000000000005,0.001315789473684159
7700,0.43038961038961043,0.0012987012987012436
7800,0.4292307692307692,0.0012820512820512775
7900,0.43164556962025313,0.0017721518987341423
8000,0.43274999999999997,0.0020000000000000018
8100,0.4345679012345679,0.0019753086419752597
8200,0.4380487804878048,0.0019512195121951237
8300,0.43807228915662655,0.001927710843373509
8400,0.43880952380952376,0.0019047619047618536
8500,0.43670588235294117,0.0018823529411764461
8600,0.4369767441860465,0.0018604651162790198
