,HandOut,Training
11400,0.5466666666666666,0.9966666666666667
11500,0.5457391304347826,0.9966956521739131
11600,0.5439655172413793,0.9967241379310345
11700,0.5435897435897435,0.9965811965811966
11800,0.5435593220338983,0.9966101694915255
11900,0.542016806722689,0.9966386554621849
12000,0.543,0.9963333333333333
12100,0.5421487603305785,0.9963636363636363
12200,0.5404918032786885,0.9963934426229508
12300,0.5434146341463415,0.9964227642276423
12400,0.5438709677419354,0.9961290322580645
12500,0.5432,0.99616
12600,0.5430158730158731,0.9961904761904762
12700,0.5426771653543307,0.9963779527559055
12800,0.5409375,0.99640625
12900,0.5417054263565891,0.9961240310077519
13000,0.5401538461538462,0.9958461538461538
13100,0.5395419847328244,0.9958778625954199
13200,0.5416666666666666,0.9957575757575757
13300,0.5422556390977443,0.9954887218045113
13400,0.5410447761194029,0.9955223880597015
13500,0.5413333333333333,0.9957037037037038
13600,0.5417647058823529,0.995735294117647
13700,0.5423357664233577,0.9957664233576642
13800,0.5428985507246377,0.9957971014492754
13900,0.5418705035971223,0.99568345323741
14000,0.5428571428571428,0.9957142857142857
14100,0.5434042553191489,0.9957446808510638
14200,0.5429577464788733,0.995774647887324
14300,0.5429370629370629,0.9958041958041958
14400,0.5423611111111111,0.9956944444444444
14500,0.5404137931034483,0.9957241379310345
14600,0.5395890410958905,0.9957534246575342
14700,0.5412244897959184,0.9956462585034014
14800,0.5413513513513514,0.9955405405405405
14900,0.5425503355704698,0.9953020134228188
15000,0.5430666666666667,0.9952
15100,0.5431788079470199,0.9952317880794702
15200,0.5436842105263158,0.9952631578947368
15300,0.5433986928104575,0.9954248366013072
15400,0.5423376623376623,0.9953246753246753
15500,0.5421935483870968,0.9952258064516128
15600,0.5428205128205128,0.9952564102564102
15700,0.5447133757961783,0.9952866242038216
15800,0.5453164556962026,0.9954430379746836
15900,0.5456603773584906,0.9954716981132076
16000,0.547,0.995375
16100,0.548695652173913,0.9954037267080745
16200,0.5503703703703704,0.9951851851851852
16300,0.5489570552147239,0.9952147239263803
16400,0.5485365853658537,0.9952439024390244
16500,0.5487272727272727,0.9952727272727273
16600,0.548433734939759,0.9951807228915662
16700,0.5492215568862275,0.9950898203592814
16800,0.5496428571428571,0.995
16900,0.5488757396449704,0.9950295857988166
17000,0.5487058823529412,0.9950588235294118
17100,0.5484210526315789,0.9949707602339182
17200,0.5484883720930233,0.9951162790697674
17300,0.5482080924855491,0.9949132947976879
17400,0.546896551724138,0.9950574712643678
17500,0.5477714285714286,0.9950857142857142
17600,0.5490909090909091,0.9951136363636364
17700,0.5493785310734464,0.9950282485875707
17800,0.5502247191011236,0.9950561797752809
17900,0.5503910614525139,0.9950837988826816
18000,0.5507777777777778,0.9951111111111111
18100,0.5517127071823205,0.9951381215469614
18200,0.552967032967033,0.9950549450549451
18300,0.5537704918032786,0.9951912568306011
18400,0.5555434782608696,0.9952173913043478
18500,0.5578378378378378,0.9951351351351352
18600,0.5588172043010753,0.9951612903225806
18700,0.558716577540107,0.9950802139037433
18800,0.5591489361702128,0.9947872340425532
18900,0.5595767195767196,0.9949206349206349
19000,0.5605263157894737,0.9948421052631579
19100,0.5610471204188482,0.9947643979057592
19200,0.5622916666666666,0.9947916666666666
19300,0.5620725388601037,0.9947150259067358
19400,0.5632989690721649,0.9948453608247423
19500,0.5636923076923077,0.9947692307692307
19600,0.5631632653061225,0.9946938775510205
19700,0.5640609137055838,0.9947208121827411
19800,0.5635353535353536,0.9946464646464647
19900,0.5633165829145729,0.9946733668341708
20000,0.5634,0.9947
20100,0.563681592039801,0.9946268656716418
20200,0.5653465346534653,0.9947524752475247
20300,0.5646305418719212,0.9947783251231527
20400,0.5642156862745098,0.9946078431372549
20500,0.5641951219512195,0.9945365853658537
20600,0.5637864077669903,0.9943689320388349
20700,0.5639613526570049,0.9943961352657005
20800,0.5643269230769231,0.994423076923077
20900,0.564688995215311,0.9944497607655503
21000,0.5647619047619048,0.9943809523809524
21100,0.5654976303317536,0.9944075829383886
21200,0.565566037735849,0.9944339622641509
21300,0.5658215962441314,0.9944600938967136
21400,0.565981308411215,0.9946728971962617
21500,0.5651162790697675,0.9945116279069768
21600,0.5649074074074074,0.994537037037037
21700,0.5644239631336405,0.9945622119815668
21800,0.5637614678899082,0.9946788990825688
21900,0.5640182648401827,0.9946118721461187
22000,0.5636363636363636,0.9945454545454545
22100,0.5628054298642534,0.9944796380090498
22200,0.5627927927927928,0.9945945945945946
22300,0.5634977578475336,0.9945291479820628
22400,0.563125,0.9945535714285715
22500,0.5628444444444445,0.9945777777777778
22600,0.5633628318584071,0.9946902654867257
22700,0.5632599118942732,0.9947136563876652
22800,0.5638596491228071,0.9947368421052631
22900,0.5649781659388646,0.994759825327511
23000,0.5655652173913044,0.9947826086956522
23100,0.5664069264069264,0.9948051948051948
23200,0.5680172413793103,0.9948275862068966
23300,0.5689270386266094,0.9948497854077253
23400,0.568034188034188,0.9947863247863248
23500,0.5684255319148936,0.9947234042553191
23600,0.5690677966101695,0.9947457627118644
23700,0.5685232067510548,0.9948523206751055
23800,0.5689075630252101,0.9947899159663866
23900,0.5692887029288702,0.9948117154811715
24000,0.569,0.99475
24100,0.5697095435684647,0.9948547717842323
24200,0.569504132231405,0.9948760330578512
24300,0.5696296296296296,0.9948148148148148
24400,0.5702459016393443,0.9948360655737705
24500,0.5696326530612245,0.9947755102040816
24600,0.5689430894308943,0.9947967479674796
24700,0.5688259109311741,0.9947368421052631
24800,0.569516129032258,0.9946774193548387
24900,0.5701204819277108,0.9945381526104418
25000,0.57008,0.99456
25100,0.5694820717131475,0.9945816733067729
25200,0.5701587301587302,0.9946825396825397
25300,0.5703557312252965,0.9947826086956522
25400,0.5703937007874016,0.9948031496062992
25500,0.5702745098039216,0.9946666666666667
25600,0.57140625,0.994765625
