,HoldOut,Training
100,0.52,0.56
200,0.5700000000000001,0.54
300,0.5266666666666666,0.45333333333333337
400,0.515,0.49
500,0.496,0.488
600,0.4933333333333333,0.5233333333333333
700,0.49428571428571433,0.49142857142857144
800,0.43500000000000005,0.40249999999999997
900,0.4377777777777778,0.49111111111111116
1000,0.47,0.478
1100,0.4236363636363636,0.38
1200,0.46499999999999997,0.5183333333333333
1300,0.41230769230769226,0.38769230769230767
1400,0.40714285714285714,0.39428571428571424
1500,0.4093333333333333,0.3653333333333333
1600,0.44499999999999995,0.38125
1700,0.46705882352941175,0.43647058823529417
1800,0.4855555555555555,0.4422222222222222
1900,0.4147368421052632,0.3726315789473684
2000,0.44499999999999995,0.4
2100,0.40095238095238095,0.36476190476190473
2200,0.43000000000000005,0.4418181818181818
2300,0.42434782608695654,0.43565217391304345
2400,0.4225,0.4075
2500,0.45120000000000005,0.43520000000000003
2600,0.42000000000000004,0.41230769230769226
2700,0.4251851851851852,0.3911111111111111
2800,0.5078571428571428,0.4642857142857143
2900,0.4806896551724138,0.4510344827586207
3000,0.44999999999999996,0.3973333333333333
3100,0.4741935483870968,0.43032258064516127
3200,0.35187500000000005,0.354375
3300,0.4236363636363636,0.38363636363636366
3400,0.41294117647058826,0.38941176470588235
3500,0.4702857142857143,0.4502857142857143
3600,0.44999999999999996,0.40555555555555556
3700,0.3848648648648648,0.37189189189189187
3800,0.5221052631578947,0.4921052631578947
3900,0.38871794871794874,0.37384615384615383
4000,0.44699999999999995,0.4175
4100,0.3926829268292683,0.3897560975609756
4200,0.46190476190476193,0.40714285714285714
4300,0.45395348837209304,0.4437209302325581
4400,0.40636363636363637,0.3981818181818182
4500,0.4053333333333333,0.38311111111111107
4600,0.4652173913043478,0.42739130434782613
4700,0.40255319148936175,0.40212765957446805
4800,0.39125,0.3554166666666667
4900,0.43387755102040815,0.43510204081632653
5000,0.4012,0.3772
5100,0.41450980392156866,0.38470588235294123
5200,0.4573076923076923,0.43961538461538463
5300,0.4139622641509434,0.4169811320754717
5400,0.38148148148148153,0.37037037037037035
5500,0.40036363636363637,0.40254545454545454
5600,0.39142857142857146,0.3721428571428571
5700,0.37684210526315787,0.387719298245614
5800,0.38758620689655177,0.37310344827586206
5900,0.3877966101694915,0.38745762711864407
6000,0.4043333333333333,0.41833333333333333
6100,0.3924590163934426,0.38786885245901637
6200,0.39387096774193553,0.3648387096774194
6300,0.38095238095238093,0.36444444444444446
6400,0.3715625,0.3503125
6500,0.4267692307692308,0.43292307692307697
6600,0.42787878787878786,0.45212121212121215
6700,0.39313432835820894,0.3629850746268657
6800,0.3732352941176471,0.3682352941176471
6900,0.4344927536231884,0.4284057971014493
7000,0.384,0.3788571428571429
7100,0.4385915492957746,0.43718309859154925
7200,0.4116666666666666,0.4027777777777778
7300,0.4032876712328767,0.40657534246575344
7400,0.3732432432432432,0.37
7500,0.41200000000000003,0.39280000000000004
7600,0.3989473684210526,0.37973684210526315
7700,0.392987012987013,0.37350649350649345
7800,0.4082051282051282,0.40205128205128204
7900,0.3865822784810127,0.36
8000,0.397,0.36475
8100,0.4103703703703704,0.40320987654320983
8200,0.38926829268292684,0.3668292682926829
8300,0.47228915662650606,0.47783132530120487
8400,0.37928571428571434,0.3545238095238096
8500,0.3795294117647059,0.359764705882353
8600,0.39186046511627903,0.393953488372093
8700,0.3988505747126436,0.36758620689655175
8800,0.40295454545454545,0.37318181818181817
8900,0.38584269662921344,0.3586516853932584
9000,0.41488888888888886,0.4064444444444445
9100,0.4316483516483517,0.4336263736263736
9200,0.38152173913043474,0.36543478260869566
9300,0.37505376344086017,0.37397849462365595
9400,0.3768085106382979,0.35148936170212763
9500,0.4376842105263158,0.46294736842105266
9600,0.39041666666666663,0.3689583333333334
9700,0.39752577319587634,0.3812371134020619
9800,0.3873469387755102,0.38142857142857145
9900,0.3749494949494949,0.35717171717171714
10000,0.37539999999999996,0.3628
10100,0.3924752475247525,0.36613861386138613
10200,0.39254901960784316,0.35901960784313725
10300,0.3840776699029126,0.3613592233009709
10400,0.46115384615384614,0.4723076923076923
10500,0.39142857142857146,0.3689523809523809
10600,0.4105660377358491,0.3969811320754717
10700,0.40822429906542057,0.4201869158878505
10800,0.40074074074074073,0.38370370370370366
10900,0.39247706422018347,0.430091743119266
11000,0.38381818181818184,0.3714545454545455
11100,0.3884684684684685,0.3758558558558559
11200,0.37910714285714286,0.3644642857142857
11300,0.4097345132743363,0.38371681415929204
11400,0.3835087719298246,0.3694736842105263
11500,0.43426086956521737,0.4549565217391305
11600,0.37206896551724133,0.3456896551724138
11700,0.3803418803418803,0.34991452991452987
11800,0.3706779661016949,0.3628813559322034
11900,0.3941176470588236,0.3826890756302521
12000,0.38449999999999995,0.36650000000000005
