,HandOut,Training
10100,0.6825742574257426,0.6887128712871287
10200,0.683921568627451,0.6886274509803921
10300,0.68,0.6885436893203883
10400,0.6821153846153846,0.6888461538461539
10500,0.6811428571428572,0.6878095238095238
10600,0.679811320754717,0.6877358490566038
10700,0.6790654205607477,0.6885981308411215
10800,0.6738888888888889,0.69
10900,0.6774311926605504,0.6906422018348624
11000,0.6758181818181819,0.6898181818181818
11100,0.6754954954954955,0.6911711711711712
11200,0.6773214285714285,0.6905357142857143
11300,0.6745132743362832,0.6915044247787611
11400,0.6752631578947368,0.6912280701754386
11500,0.676,0.6918260869565217
11600,0.6748275862068965,0.6917241379310345
11700,0.6723076923076923,0.6907692307692308
11800,0.6730508474576271,0.6927118644067797
11900,0.6695798319327732,0.6912605042016807
12000,0.6693333333333333,0.6921666666666667
12100,0.6685950413223141,0.692396694214876
12200,0.6680327868852459,0.6929508196721311
12300,0.6673170731707317,0.6926829268292682
12400,0.6659677419354839,0.6933870967741935
12500,0.66864,0.69232
12600,0.6711111111111111,0.6903174603174603
12700,0.6694488188976377,0.691496062992126
12800,0.66875,0.6909375
12900,0.6689922480620155,0.6913178294573643
13000,0.668923076923077,0.690923076923077
13100,0.6670229007633588,0.6919083969465649
13200,0.6681818181818182,0.6921212121212121
13300,0.6672180451127819,0.6912781954887218
13400,0.667910447761194,0.6916417910447761
13500,0.670962962962963,0.6915555555555556
13600,0.6683823529411764,0.6908823529411765
13700,0.6715328467153284,0.6903649635036496
13800,0.6727536231884058,0.69
13900,0.6697841726618705,0.6897841726618705
14000,0.6692857142857143,0.6918571428571428
14100,0.6707801418439716,0.6906382978723404
14200,0.6701408450704225,0.6897183098591549
14300,0.6700699300699301,0.6893706293706293
14400,0.6681944444444444,0.6884722222222223
14500,0.6675862068965517,0.6888275862068965
14600,0.6684931506849315,0.6882191780821918
14700,0.6681632653061225,0.6881632653061225
14800,0.6677027027027027,0.687972972972973
14900,0.6679194630872484,0.6879194630872483
15000,0.6682666666666667,0.6865333333333333
15100,0.6680794701986755,0.6866225165562914
15200,0.6682894736842105,0.6864473684210526
15300,0.667843137254902,0.6869281045751634
15400,0.6657142857142857,0.6861038961038961
15500,0.6645161290322581,0.688258064516129
15600,0.6656410256410257,0.6871794871794872
15700,0.6664968152866242,0.6871337579617834
15800,0.6650632911392405,0.6875949367088607
15900,0.6635220125786163,0.6879245283018868
16000,0.66475,0.687125
16100,0.664472049689441,0.6869565217391305
16200,0.6634567901234568,0.6876543209876543
16300,0.6623312883435583,0.6869938650306748
16400,0.6613414634146342,0.6867073170731708
16500,0.6612121212121213,0.6872727272727273
16600,0.6609638554216868,0.6869879518072289
16700,0.6610778443113773,0.6869461077844311
16800,0.6621428571428571,0.6869047619047619
16900,0.6622485207100591,0.6869822485207101
17000,0.6621176470588235,0.6867058823529412
17100,0.6614035087719298,0.6870175438596491
17200,0.6612790697674419,0.6865116279069767
17300,0.6610404624277456,0.6865895953757225
17400,0.6628735632183909,0.6863218390804597
17500,0.6627428571428572,0.6852571428571429
17600,0.6635227272727273,0.6848863636363637
17700,0.6632768361581921,0.6863276836158192
17800,0.6621348314606742,0.6856179775280898
17900,0.6610055865921788,0.6863687150837989
18000,0.6606666666666666,0.6867777777777778
18100,0.6609944751381216,0.6859668508287293
18200,0.6618681318681319,0.6868131868131868
18300,0.6610928961748634,0.687431693989071
18400,0.6608695652173913,0.6869565217391305
18500,0.6618378378378378,0.6864864864864865
18600,0.6602150537634408,0.6860215053763441
18700,0.66,0.686524064171123
18800,0.6597872340425532,0.6875531914893617
18900,0.659047619047619,0.6867724867724868
19000,0.66,0.6872631578947368
19100,0.6591623036649215,0.6873298429319372
19200,0.6588541666666666,0.6866666666666666
19300,0.6587564766839378,0.6864248704663213
19400,0.6585567010309278,0.6863917525773195
19500,0.6744615384615384,0.6867692307692308
19600,0.6752040816326531,0.6870408163265306
19700,0.6759390862944162,0.6860913705583757
19800,0.674949494949495,0.6853535353535354
19900,0.6762814070351759,0.6857286432160804
20000,0.676,0.6873
20100,0.6760199004975125,0.687363184079602
20200,0.6771287128712872,0.6867326732673268
20300,0.6757635467980295,0.6874876847290641
20400,0.6755882352941176,0.6874509803921569
20500,0.6754146341463415,0.6870243902439025
20600,0.6767961165048544,0.6862135922330097
20700,0.676231884057971,0.6869565217391305
20800,0.6753846153846154,0.686923076923077
20900,0.6759808612440191,0.6870813397129186
21000,0.6758095238095239,0.6864761904761905
21100,0.6758293838862559,0.6865402843601895
21200,0.6754716981132075,0.6862264150943396
21300,0.6753051643192488,0.6865727699530516
21400,0.6751401869158878,0.6869158878504673
21500,0.673953488372093,0.6868837209302325
