,Score,HandOut
1000,0.6545454545454545,0.608955223880597
2000,0.6636363636363637,0.6253731343283582
3000,0.6636363636363637,0.6557213930348259
4000,0.7075757575757575,0.655223880597015
5000,0.696969696969697,0.6608955223880597
6000,0.6898989898989899,0.6835820895522388
7000,0.6874458874458874,0.6904051172707889
8000,0.6825757575757576,0.6701492537313433
9000,0.6821548821548822,0.677943615257048
10000,0.6833333333333333,0.6811940298507463
11000,0.6738292011019283,0.6862957937584804
12000,0.679040404040404,0.691044776119403
13000,0.679020979020979,0.6815154994259471
14000,0.675974025974026,0.6840085287846482
15000,0.675959595959596,0.6913432835820895
16000,0.684469696969697,0.669589552238806
17000,0.6803921568627451,0.6733977172958736
18000,0.6735690235690236,0.6708126036484245
19000,0.679585326953748,0.6787117046347211
20000,0.6845454545454546,0.6798507462686567
21000,0.6751803751803752,0.679317697228145
22000,0.6721763085399449,0.6846675712347354
23000,0.6770750988142292,0.6834523036988969
24000,0.6791666666666667,0.6823383084577115
25000,0.6774545454545454,0.6805970149253732
